Internship Stipend Scale,,,,,
,,,,,
Very High Need (VHN) - 5 Points,,,,,
High Need (HN) - 4 Points,,,,,
Moderate Need (MH) - 3 points,,,,Fund Distribution,
Low Need (MN) - 2 Points,,,,17+ Points or higher,"$2,500 "
No Need (LN) - 0 Points,,,,15-16 Points,"$1,500 "
,,,,14 Points,"$1,000 "
Paid (P) - 4 Points,,,,13 Points or below,$0 
Unpaid (UP) - 5 Points,,,,,
,,,,,
,,,,,
In-Person (In/P) - 5 Points,,,,,
Hybrid (H/B) - 4 Points,,,,,
Virtual (V) - 0 Points,,,,,
,,,,,
,,,,,
,,,,,
Cost of Living by State,,,,,
,,,,,
Tier One - 1 Point,,Tier Two - 3 Points,,,Tier Three - 5 Points
,,,,,
Mississippi,,North Carolina,,,Montana
Arkansas,,Illinois,,,Colorado
Missouri,,Wisconsin,,,New York
Michigan,,Nebraska,,,Washington
Tennessee,,Idaho,,,Maine
Ohio,,South Dakota,,,Oregon
Oklahoma,,New Mexico,,,Vermont
Georgia,,Florida,,,New Jersey
Alabama,,Pennsylvania,,,New Hampshire
Indiana,,Minnesota,,,Maryland 
West Virginia,,Virginia,,,Rhode Island
Texas,,Utah,,,Connecticut
Kansas,,Wyoming,,,Massachusetts
Iowa,,North Dakota,,,Hawaii
,,South Carolina,,,California
,,International,,,Alaska
,,Louisiana,,,District of Columbia
,,Kentucky,,,Delaware
,,Nevada,,,Arizona
